election_date,election_year,bundestag_number,parliament_id,party_id,party_shortcut,official_labels,second_votes,share_pct_official,share_pct_computed,seats_total,seats_constituency,seats_list,valid_votes_total,seats_total_all_parties,remarks,source_url,election_date_source_url,license,license_url,attribution,retrieved_at
2017-09-24,2017,19,0,1,CDU/CSU,CDU+CSU,15317344,,32.9296,246,231,15,46515492,709,,https://www.bundeswahlleiterin.de/dam/jcr/24d8e745-920d-431a-893a-12805bc7ef40/btw_ab49_datenbank_ergebnisse.csv,https://www.bundeswahlleiterin.de/dam/jcr/72f186bb-aa56-47d3-b24c-6a46f5de22d0/btw17_kerg.csv,Datenlizenz Deutschland - Namensnennung - Version 2.0,https://www.govdata.de/dl-de/by-2-0,"Die Bundeswahlleiterin, Statistisches Bundesamt (Destatis)",2026-09-22T11:54:13.087820+00:00
2017-09-24,2017,19,0,2,SPD,SPD,9539381,20.5,20.508,153,59,94,46515492,709,,https://www.bundeswahlleiterin.de/dam/jcr/24d8e745-920d-431a-893a-12805bc7ef40/btw_ab49_datenbank_ergebnisse.csv,https://www.bundeswahlleiterin.de/dam/jcr/72f186bb-aa56-47d3-b24c-6a46f5de22d0/btw17_kerg.csv,Datenlizenz Deutschland - Namensnennung - Version 2.0,https://www.govdata.de/dl-de/by-2-0,"Die Bundeswahlleiterin, Statistisches Bundesamt (Destatis)",2026-09-22T11:54:13.087820+00:00
2017-09-24,2017,19,0,3,FDP,FDP,4999449,10.7,10.7479,80,0,80,46515492,709,,https://www.bundeswahlleiterin.de/dam/jcr/24d8e745-920d-431a-893a-12805bc7ef40/btw_ab49_datenbank_ergebnisse.csv,https://www.bundeswahlleiterin.de/dam/jcr/72f186bb-aa56-47d3-b24c-6a46f5de22d0/btw17_kerg.csv,Datenlizenz Deutschland - Namensnennung - Version 2.0,https://www.govdata.de/dl-de/by-2-0,"Die Bundeswahlleiterin, Statistisches Bundesamt (Destatis)",2026-09-22T11:54:13.087820+00:00
2017-09-24,2017,19,0,4,Grüne,GRÜNE,4158400,8.9,8.9398,67,1,66,46515492,709,,https://www.bundeswahlleiterin.de/dam/jcr/24d8e745-920d-431a-893a-12805bc7ef40/btw_ab49_datenbank_ergebnisse.csv,https://www.bundeswahlleiterin.de/dam/jcr/72f186bb-aa56-47d3-b24c-6a46f5de22d0/btw17_kerg.csv,Datenlizenz Deutschland - Namensnennung - Version 2.0,https://www.govdata.de/dl-de/by-2-0,"Die Bundeswahlleiterin, Statistisches Bundesamt (Destatis)",2026-09-22T11:54:13.087820+00:00
2017-09-24,2017,19,0,5,Linke,Die Linke,4297270,9.2,9.2384,69,5,64,46515492,709,,https://www.bundeswahlleiterin.de/dam/jcr/24d8e745-920d-431a-893a-12805bc7ef40/btw_ab49_datenbank_ergebnisse.csv,https://www.bundeswahlleiterin.de/dam/jcr/72f186bb-aa56-47d3-b24c-6a46f5de22d0/btw17_kerg.csv,Datenlizenz Deutschland - Namensnennung - Version 2.0,https://www.govdata.de/dl-de/by-2-0,"Die Bundeswahlleiterin, Statistisches Bundesamt (Destatis)",2026-09-22T11:54:13.087820+00:00
2017-09-24,2017,19,0,7,AfD,AfD,5878115,12.6,12.6369,94,3,91,46515492,709,,https://www.bundeswahlleiterin.de/dam/jcr/24d8e745-920d-431a-893a-12805bc7ef40/btw_ab49_datenbank_ergebnisse.csv,https://www.bundeswahlleiterin.de/dam/jcr/72f186bb-aa56-47d3-b24c-6a46f5de22d0/btw17_kerg.csv,Datenlizenz Deutschland - Namensnennung - Version 2.0,https://www.govdata.de/dl-de/by-2-0,"Die Bundeswahlleiterin, Statistisches Bundesamt (Destatis)",2026-09-22T11:54:13.087820+00:00
2017-09-24,2017,19,0,8,Freie Wähler,FREIE WÄHLER,463292,1.0,0.996,0,0,0,46515492,709,,https://www.bundeswahlleiterin.de/dam/jcr/24d8e745-920d-431a-893a-12805bc7ef40/btw_ab49_datenbank_ergebnisse.csv,https://www.bundeswahlleiterin.de/dam/jcr/72f186bb-aa56-47d3-b24c-6a46f5de22d0/btw17_kerg.csv,Datenlizenz Deutschland - Namensnennung - Version 2.0,https://www.govdata.de/dl-de/by-2-0,"Die Bundeswahlleiterin, Statistisches Bundesamt (Destatis)",2026-09-22T11:54:13.087820+00:00
2017-09-24,2017,19,0,0,Sonstige,,1862241,,4.0035,0,0,0,46515492,709,,https://www.bundeswahlleiterin.de/dam/jcr/24d8e745-920d-431a-893a-12805bc7ef40/btw_ab49_datenbank_ergebnisse.csv,https://www.bundeswahlleiterin.de/dam/jcr/72f186bb-aa56-47d3-b24c-6a46f5de22d0/btw17_kerg.csv,Datenlizenz Deutschland - Namensnennung - Version 2.0,https://www.govdata.de/dl-de/by-2-0,"Die Bundeswahlleiterin, Statistisches Bundesamt (Destatis)",2026-09-22T11:54:13.087820+00:00
2021-09-26,2021,20,0,1,CDU/CSU,CDU+CSU,11177747,,24.1428,197,143,54,46298387,735,einschl. Wiederholungswahl in Teilen Berlins,https://www.bundeswahlleiterin.de/dam/jcr/24d8e745-920d-431a-893a-12805bc7ef40/btw_ab49_datenbank_ergebnisse.csv,https://www.bundeswahlleiterin.de/bundestagswahlen/2021/ergebnisse.html,Datenlizenz Deutschland - Namensnennung - Version 2.0,https://www.govdata.de/dl-de/by-2-0,"Die Bundeswahlleiterin, Statistisches Bundesamt (Destatis)",2026-09-22T11:54:13.087820+00:00
2021-09-26,2021,20,0,2,SPD,SPD,11901558,25.7,25.7062,206,121,85,46298387,735,einschl. Wiederholungswahl in Teilen Berlins,https://www.bundeswahlleiterin.de/dam/jcr/24d8e745-920d-431a-893a-12805bc7ef40/btw_ab49_datenbank_ergebnisse.csv,https://www.bundeswahlleiterin.de/bundestagswahlen/2021/ergebnisse.html,Datenlizenz Deutschland - Namensnennung - Version 2.0,https://www.govdata.de/dl-de/by-2-0,"Die Bundeswahlleiterin, Statistisches Bundesamt (Destatis)",2026-09-22T11:54:13.087820+00:00
2021-09-26,2021,20,0,3,FDP,FDP,5291013,11.4,11.4281,91,0,91,46298387,735,einschl. Wiederholungswahl in Teilen Berlins,https://www.bundeswahlleiterin.de/dam/jcr/24d8e745-920d-431a-893a-12805bc7ef40/btw_ab49_datenbank_ergebnisse.csv,https://www.bundeswahlleiterin.de/bundestagswahlen/2021/ergebnisse.html,Datenlizenz Deutschland - Namensnennung - Version 2.0,https://www.govdata.de/dl-de/by-2-0,"Die Bundeswahlleiterin, Statistisches Bundesamt (Destatis)",2026-09-22T11:54:13.087820+00:00
2021-09-26,2021,20,0,4,Grüne,GRÜNE,6814408,14.7,14.7185,118,16,102,46298387,735,einschl. Wiederholungswahl in Teilen Berlins,https://www.bundeswahlleiterin.de/dam/jcr/24d8e745-920d-431a-893a-12805bc7ef40/btw_ab49_datenbank_ergebnisse.csv,https://www.bundeswahlleiterin.de/bundestagswahlen/2021/ergebnisse.html,Datenlizenz Deutschland - Namensnennung - Version 2.0,https://www.govdata.de/dl-de/by-2-0,"Die Bundeswahlleiterin, Statistisches Bundesamt (Destatis)",2026-09-22T11:54:13.087820+00:00
2021-09-26,2021,20,0,5,Linke,Die Linke,2255864,4.9,4.8724,39,3,36,46298387,735,einschl. Wiederholungswahl in Teilen Berlins,https://www.bundeswahlleiterin.de/dam/jcr/24d8e745-920d-431a-893a-12805bc7ef40/btw_ab49_datenbank_ergebnisse.csv,https://www.bundeswahlleiterin.de/bundestagswahlen/2021/ergebnisse.html,Datenlizenz Deutschland - Namensnennung - Version 2.0,https://www.govdata.de/dl-de/by-2-0,"Die Bundeswahlleiterin, Statistisches Bundesamt (Destatis)",2026-09-22T11:54:13.087820+00:00
2021-09-26,2021,20,0,7,AfD,AfD,4809233,10.4,10.3875,83,16,67,46298387,735,einschl. Wiederholungswahl in Teilen Berlins,https://www.bundeswahlleiterin.de/dam/jcr/24d8e745-920d-431a-893a-12805bc7ef40/btw_ab49_datenbank_ergebnisse.csv,https://www.bundeswahlleiterin.de/bundestagswahlen/2021/ergebnisse.html,Datenlizenz Deutschland - Namensnennung - Version 2.0,https://www.govdata.de/dl-de/by-2-0,"Die Bundeswahlleiterin, Statistisches Bundesamt (Destatis)",2026-09-22T11:54:13.087820+00:00
2021-09-26,2021,20,0,8,Freie Wähler,FREIE WÄHLER,1125667,2.4,2.4313,0,0,0,46298387,735,einschl. Wiederholungswahl in Teilen Berlins,https://www.bundeswahlleiterin.de/dam/jcr/24d8e745-920d-431a-893a-12805bc7ef40/btw_ab49_datenbank_ergebnisse.csv,https://www.bundeswahlleiterin.de/bundestagswahlen/2021/ergebnisse.html,Datenlizenz Deutschland - Namensnennung - Version 2.0,https://www.govdata.de/dl-de/by-2-0,"Die Bundeswahlleiterin, Statistisches Bundesamt (Destatis)",2026-09-22T11:54:13.087820+00:00
2021-09-26,2021,20,0,0,Sonstige,,2922897,,6.3132,1,0,0,46298387,735,einschl. Wiederholungswahl in Teilen Berlins,https://www.bundeswahlleiterin.de/dam/jcr/24d8e745-920d-431a-893a-12805bc7ef40/btw_ab49_datenbank_ergebnisse.csv,https://www.bundeswahlleiterin.de/bundestagswahlen/2021/ergebnisse.html,Datenlizenz Deutschland - Namensnennung - Version 2.0,https://www.govdata.de/dl-de/by-2-0,"Die Bundeswahlleiterin, Statistisches Bundesamt (Destatis)",2026-09-22T11:54:13.087820+00:00
2025-02-23,2025,21,0,1,CDU/CSU,CDU+CSU,14160402,,28.5207,208,172,36,49649512,630,,https://www.bundeswahlleiterin.de/dam/jcr/24d8e745-920d-431a-893a-12805bc7ef40/btw_ab49_datenbank_ergebnisse.csv,https://www.bundeswahlleiterin.de/bundestagswahlen/2025.html,Datenlizenz Deutschland - Namensnennung - Version 2.0,https://www.govdata.de/dl-de/by-2-0,"Die Bundeswahlleiterin, Statistisches Bundesamt (Destatis)",2026-09-22T11:54:13.087820+00:00
2025-02-23,2025,21,0,2,SPD,SPD,8149124,16.4,16.4133,120,44,76,49649512,630,,https://www.bundeswahlleiterin.de/dam/jcr/24d8e745-920d-431a-893a-12805bc7ef40/btw_ab49_datenbank_ergebnisse.csv,https://www.bundeswahlleiterin.de/bundestagswahlen/2025.html,Datenlizenz Deutschland - Namensnennung - Version 2.0,https://www.govdata.de/dl-de/by-2-0,"Die Bundeswahlleiterin, Statistisches Bundesamt (Destatis)",2026-09-22T11:54:13.087820+00:00
2025-02-23,2025,21,0,3,FDP,FDP,2148757,4.3,4.3279,0,0,0,49649512,630,,https://www.bundeswahlleiterin.de/dam/jcr/24d8e745-920d-431a-893a-12805bc7ef40/btw_ab49_datenbank_ergebnisse.csv,https://www.bundeswahlleiterin.de/bundestagswahlen/2025.html,Datenlizenz Deutschland - Namensnennung - Version 2.0,https://www.govdata.de/dl-de/by-2-0,"Die Bundeswahlleiterin, Statistisches Bundesamt (Destatis)",2026-09-22T11:54:13.087820+00:00
2025-02-23,2025,21,0,4,Grüne,GRÜNE,5762380,11.6,11.6061,85,12,73,49649512,630,,https://www.bundeswahlleiterin.de/dam/jcr/24d8e745-920d-431a-893a-12805bc7ef40/btw_ab49_datenbank_ergebnisse.csv,https://www.bundeswahlleiterin.de/bundestagswahlen/2025.html,Datenlizenz Deutschland - Namensnennung - Version 2.0,https://www.govdata.de/dl-de/by-2-0,"Die Bundeswahlleiterin, Statistisches Bundesamt (Destatis)",2026-09-22T11:54:13.087820+00:00
2025-02-23,2025,21,0,5,Linke,Die Linke,4356532,8.8,8.7746,64,6,58,49649512,630,,https://www.bundeswahlleiterin.de/dam/jcr/24d8e745-920d-431a-893a-12805bc7ef40/btw_ab49_datenbank_ergebnisse.csv,https://www.bundeswahlleiterin.de/bundestagswahlen/2025.html,Datenlizenz Deutschland - Namensnennung - Version 2.0,https://www.govdata.de/dl-de/by-2-0,"Die Bundeswahlleiterin, Statistisches Bundesamt (Destatis)",2026-09-22T11:54:13.087820+00:00
2025-02-23,2025,21,0,7,AfD,AfD,10328780,20.8,20.8034,152,42,110,49649512,630,,https://www.bundeswahlleiterin.de/dam/jcr/24d8e745-920d-431a-893a-12805bc7ef40/btw_ab49_datenbank_ergebnisse.csv,https://www.bundeswahlleiterin.de/bundestagswahlen/2025.html,Datenlizenz Deutschland - Namensnennung - Version 2.0,https://www.govdata.de/dl-de/by-2-0,"Die Bundeswahlleiterin, Statistisches Bundesamt (Destatis)",2026-09-22T11:54:13.087820+00:00
2025-02-23,2025,21,0,8,Freie Wähler,FREIE WÄHLER,769279,1.5,1.5494,0,0,0,49649512,630,,https://www.bundeswahlleiterin.de/dam/jcr/24d8e745-920d-431a-893a-12805bc7ef40/btw_ab49_datenbank_ergebnisse.csv,https://www.bundeswahlleiterin.de/bundestagswahlen/2025.html,Datenlizenz Deutschland - Namensnennung - Version 2.0,https://www.govdata.de/dl-de/by-2-0,"Die Bundeswahlleiterin, Statistisches Bundesamt (Destatis)",2026-09-22T11:54:13.087820+00:00
2025-02-23,2025,21,0,23,BSW,BSW,2472947,5.0,4.9808,0,0,0,49649512,630,,https://www.bundeswahlleiterin.de/dam/jcr/24d8e745-920d-431a-893a-12805bc7ef40/btw_ab49_datenbank_ergebnisse.csv,https://www.bundeswahlleiterin.de/bundestagswahlen/2025.html,Datenlizenz Deutschland - Namensnennung - Version 2.0,https://www.govdata.de/dl-de/by-2-0,"Die Bundeswahlleiterin, Statistisches Bundesamt (Destatis)",2026-09-22T11:54:13.087820+00:00
2025-02-23,2025,21,0,0,Sonstige,,1501311,,3.0238,1,0,0,49649512,630,,https://www.bundeswahlleiterin.de/dam/jcr/24d8e745-920d-431a-893a-12805bc7ef40/btw_ab49_datenbank_ergebnisse.csv,https://www.bundeswahlleiterin.de/bundestagswahlen/2025.html,Datenlizenz Deutschland - Namensnennung - Version 2.0,https://www.govdata.de/dl-de/by-2-0,"Die Bundeswahlleiterin, Statistisches Bundesamt (Destatis)",2026-09-22T11:54:13.087820+00:00
